ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
MTRE3;3,15;-5,41;-2,17;-5,41;36,4;-0,004;-5,6;2,44;3,08;7,6;32,9;5.4;0,33;1334.0%;8.3%;55;OBSERVAR
WEGE3;44,97;-3,31;-2,79;5,36;47,4;-0,125;30,6;0,5;2,52;33,2;20,7;30.0;10,83;90.0%;32.5%;45;OBSERVAR
BBSE3;40,18;-0,42;3,8;6,35;69,6;0,008;103,4;0,41;1,75;39,2;0,6;8.5;6,17;1292.0%;75.6%;45;OBSERVAR
ONCO3;0,73;-2,67;-35,4;-39,17;30,8;-0,053;-4,2;1,51;21,06;15,9;721,9;-;1,53;-;-205.9%;40;OBSERVAR
RAIZ4;0,34;-2,86;-10,53;-19,05;33,3;-0,005;-7,4;0,41;8,28;3,0;361,8;-;-2,21;-;-548.1%;40;OBSERVAR
DIRR3;12,88;-3,01;-7,2;-4,87;42,8;-0,133;11,9;0,49;4,14;13,4;34,0;8.1;3,15;2080.0%;42.9%;40;OBSERVAR
GFSA3;0,58;-7,94;-15,94;-49,57;23,8;-0,055;8,7;0,89;19,45;1,8;3346,6;-;0,01;-;-34.7%;40;OBSERVAR
CMIN3;5,47;4,59;26,33;24,6;80,8;0,139;124,3;1,21;3,9;34,1;16,5;13.3;4,2;1294.0%;25.7%;35;NEUTRO
CVCB3;1,25;0,0;0,0;-9,42;34,3;0,009;28,7;1,11;5,74;4,2;123,2;-;1,62;-;-23.0%;35;NEUTRO
VALE3;73,22;-1,29;-5,87;-9,78;32,8;-0,468;5,4;0,39;2,47;52,3;25,1;21.4;1,63;943.0%;6.8%;35;NEUTRO
ITUB4;43,82;-1,08;2,96;9,49;66,9;0,193;91,6;0,22;2,13;44,3;11,2;10.6;2,3;201.0%;21.8%;35;NEUTRO
ITSA4;13,92;-1,76;3,42;10,0;64,0;0,071;90,8;0,08;2,15;56,0;8,1;9.2;1,73;68.0%;18.4%;35;NEUTRO
UGPA3;30,94;0,75;10,74;28,38;80,1;0,651;100,3;0,43;2,75;111,7;0,9;10.9;2,01;581.0%;19.2%;35;NEUTRO
VVEO3;0,58;-1,69;-7,94;-56,39;24,6;-0,02;24,2;0,44;13,65;1,8;220,7;9.7;0,1;-;1.1%;35;NEUTRO
CURY3;33,6;-1,78;-0,59;1,57;51,7;-0,222;43,2;0,36;3,84;35,8;22,2;9.4;6,7;1337.0%;73.7%;35;NEUTRO
MRVE3;4,88;-2,59;-8,1;-5,79;37,4;0,019;18,8;0,5;4,99;1,7;115,8;-;0,53;-;-11.8%;30;NEUTRO
VBBR3;33,19;0,58;10,19;17,35;73,5;0,491;102,9;0,5;2,5;89,9;1,4;12.9;1,82;486.0%;14.0%;30;NEUTRO
CYRE3;22,58;-2,08;-0,04;4,25;51,5;0,018;57,4;0,21;3,84;14,3;59,5;5.0;0,93;1647.0%;21.1%;30;NEUTRO
BBAS3;20,35;-1,12;2,93;4,95;55,3;0,111;87,1;0,36;2,14;14,9;35,3;9.2;0,63;116.0%;9.2%;25;NEUTRO
BEEF3;3,66;0,0;4,27;-4,19;51,1;0,022;69,8;0,4;3,61;7,3;99,9;7.8;2,87;347.0%;83.8%;25;NEUTRO
VAMO3;3,05;-0,33;6,27;2,35;55,9;0,052;103,3;0,22;4,08;13,8;62,0;10.5;1,25;473.0%;12.1%;25;NEUTRO
POMO4;5,72;-1,55;-0,35;-2,56;44,2;-0,008;24,7;0,34;2,93;6,0;39,0;5.7;1,75;1795.0%;30.9%;25;NEUTRO
CSMG3;67,03;-0,62;7,25;19,23;76,0;0,568;98,7;0,35;2,76;190,3;1,2;18.8;2,9;179.0%;15.9%;25;NEUTRO
SBSP3;30,53;-1,86;2,76;9,54;60,8;0,208;80,8;0,11;2,54;52,6;15,7;12.0;2,45;456.0%;21.2%;25;NEUTRO
GRND3;3,89;0,0;3,73;-0,51;52,8;0,019;76,0;0,5;2,23;14,1;27,8;5.6;1,11;2915.0%;17.9%;25;NEUTRO
CXSE3;21,6;-2,04;4,96;15,51;77,5;0,161;91,4;0,17;1,92;74,4;2,5;14.8;4,7;635.0%;31.6%;25;NEUTRO
