ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
WEGE3;44,32;-0,16;-3,38;3,72;43,7;-0,24;7,6;0,52;2,55;31,2;22,5;29.6;10,68;-;32.5%;55;OBSERVAR;alta;False;3409100
ALLD3;4,6;0,0;-0,22;-10,51;27,7;0,025;13,1;0,58;3,09;1,8;79,0;1.3;0,29;-;21.8%;55;OBSERVAR;baixa;True;234400
DIRR3;12,57;-2,03;-6,26;-6,47;39,6;-0,154;3,2;0,8;4,2;10,6;37,3;7.9;3,07;-;42.9%;45;OBSERVAR;alta;False;5962900
MLAS3;1,7;0,59;7,59;-2,3;54,8;0,002;74,4;1,04;4,93;112,4;9,4;7.7;0,44;-;6.0%;45;OBSERVAR;alta;False;1210600
RAIZ4;0,31;-6,06;-20,51;-27,91;28,5;-0,007;-15,4;0,57;9,34;0,0;406,5;-;-2,01;-;-548.1%;40;OBSERVAR;alta;False;7668600
MRVE3;4,66;-1,69;-9,34;-12,08;33,1;-0,006;0,7;0,84;5,29;0,6;126,0;-;0,5;-;-11.8%;40;OBSERVAR;alta;False;6731700
GFSA3;0,55;-5,17;-16,67;-54,17;22,9;-0,052;11,2;1,05;19,96;3,8;3534,5;-;0,01;-;-34.7%;40;OBSERVAR;alta;False;3345600
CURY3;32,72;-1,21;-3,76;0,06;47,6;-0,278;24,3;0,38;3,9;32,2;25,4;9.1;6,53;-;73.7%;40;OBSERVAR;alta;False;1376300
AZEV4;1,3;0,0;-14,47;-35,0;32,8;-0,034;16,0;1,1;19,89;11,1;930,8;-;0,34;-;-145.3%;40;OBSERVAR;alta;False;1304900
TEND3;34,29;-0,75;-2,03;1,48;48,5;-0,38;30,4;0,31;4,39;78,3;10,6;7.0;3,1;-;47.1%;40;OBSERVAR;baixa;True;709600
MTRE3;3,13;0,64;-2,49;-5,44;36,3;-0,01;0,8;0,61;3,08;6,9;33,7;5.8;0,32;-;8.3%;40;OBSERVAR;baixa;True;422300
POMO4;5,66;0,35;-0,18;-2,58;42,5;-0,013;17,6;1,07;2,95;4,9;40,5;5.7;1,73;-;30.9%;35;NEUTRO;alta;False;7681800
VVEO3;0,6;5,26;-4,76;-53,49;27,6;-0,012;28,2;1,05;12,97;7,1;210,0;10.0;0,1;-;1.1%;35;NEUTRO;alta;False;4413900
EGIE3;32,04;-1,23;-2,17;-6,67;41,6;-0,112;13,8;0,59;2,88;19,9;21,1;14.3;2,69;-;20.2%;35;NEUTRO;alta;False;1081500
POMO3;5,25;0,57;0,57;-6,91;38,8;-0,015;17,9;0,9;3,13;5,9;28,4;5.2;1,6;-;30.9%;35;NEUTRO;baixa;True;775300
UGPA3;29,95;-3,17;6,21;25,42;68,6;0,555;84,8;6,3;3,07;104,9;4,2;10.5;1,94;-;19.2%;30;NEUTRO;alta;False;55535300
SBSP3;30,35;-0,07;2,99;9,17;59,0;0,168;74,8;0,22;2,53;51,7;16,4;12.2;2,44;-;21.2%;30;NEUTRO;alta;False;2828400
EZTC3;12,59;-3,15;-0,71;-5,69;43,7;-0,026;15,4;2,02;3,78;34,6;31,8;6.0;0,68;-;11.3%;30;NEUTRO;alta;False;2757500
BBSE3;40,24;-0,1;4,38;5,37;70,3;0,032;97,6;0,29;1,69;39,4;0,7;8.5;6,18;-;75.6%;30;NEUTRO;alta;False;1771400
LJQQ3;1,18;-0,84;-2,48;-13,24;38,1;-0,001;11,8;0,62;6,19;1,7;143,2;-;0,71;-;-43.8%;30;NEUTRO;alta;False;1475700
MOVI3;8,72;-0,46;-2,02;-7,33;39,8;-0,02;19,2;0,32;4,62;63,2;71,7;8.5;0,96;-;12.9%;30;NEUTRO;alta;False;1296200
MILS3;15,39;-0,06;0,65;1,05;59,6;-0,066;47,7;0,35;1,15;63,0;1,7;8.6;1,97;-;26.3%;30;NEUTRO;baixa;True;239100
CVCB3;1,33;6,4;7,26;-1,48;45,2;0,015;58,5;1,66;5,65;10,8;109,8;-;1,73;-;-23.0%;25;NEUTRO;alta;False;13236600
COGN3;2,32;-0,85;4,98;0,87;48,1;0,02;63,9;0,45;3,97;8,4;103,7;7.0;0,34;-;4.7%;25;NEUTRO;alta;False;10958500
TIMS3;22,81;1,56;1,38;5,67;55,0;0,088;77,5;1,13;2,28;24,3;24,3;12.7;2,23;-;17.7%;25;NEUTRO;alta;False;5789700
CYRE3;22,31;-0,58;0,45;3,38;49,6;-0,008;47,6;0,62;3,84;12,9;61,4;5.0;0,92;-;21.1%;25;NEUTRO;alta;False;3706100
ANIM3;2,82;0,0;7,63;-6,93;48,4;0,048;78,9;0,3;4,86;12,4;87,5;8.1;0,45;-;8.7%;25;NEUTRO;alta;False;1902100
ISAE4;28,99;-0,72;2,58;4,66;55,6;0,152;75,1;0,58;2,37;47,7;10,5;8.1;0,89;-;11.3%;25;NEUTRO;alta;False;1325300
VIVA3;23,31;0,87;2,82;11,0;57,3;0,134;75,6;0,46;3,22;16,3;54,0;9.4;1,81;-;20.7%;25;NEUTRO;alta;False;1202800
SBFG3;10,17;1,7;4,63;0,2;48,0;0,019;51,9;0,47;3,96;7,6;50,3;7.1;0,71;-;11.2%;25;NEUTRO;baixa;True;964500
BMGB4;5,28;-0,19;-0,94;2,13;51,1;-0,006;42,6;0,65;2,78;73,4;10,3;5.3;0,69;-;13.5%;25;NEUTRO;baixa;True;749100
FLRY3;16,35;1,24;5,01;10,47;63,5;0,117;96,1;0,31;2,24;41,3;10,7;14.1;1,72;-;11.7%;25;NEUTRO;baixa;True;643900
PASS3;25,23;1,86;1,2;0,96;51,4;0,119;80,5;0,32;3,25;5,7;12,4;14.6;3,15;-;18.8%;25;NEUTRO;baixa;True;402500
FESA4;5,92;0,51;2,25;-5,13;42,4;0,025;37,5;0,36;2,33;7,7;50,3;13.5;0,61;-;4.9%;25;NEUTRO;baixa;True;243300
SYNE3;4,22;1,44;2,68;16,57;56,5;-0,009;58,2;0,49;3,4;22,3;23,6;9.8;0,93;-;4.7%;25;NEUTRO;baixa;True;228900
ITSA4;13,9;0,58;3,04;9,24;62,7;0,061;87,1;0,4;2,12;55,8;8,3;9.1;1,73;-;18.4%;20;NEUTRO;alta;False;11973800
CMIN3;5,15;-5,5;13,19;18,39;67,0;0,13;94,8;1,0;4,36;26,2;23,7;12.6;3,95;-;25.7%;20;NEUTRO;alta;False;9909300
ITUB4;43,39;-0,3;2,26;8,28;62,7;0,146;80,7;0,34;2,14;42,9;12,3;10.5;2,28;-;21.8%;20;NEUTRO;alta;False;7778200
VAMO3;3,05;0,99;5,54;6,64;55,7;0,051;97,6;0,57;4,0;13,8;62,0;10.5;1,25;-;12.1%;20;NEUTRO;alta;False;6194200
PGMN3;3,59;1,41;-3,23;-8,65;37,8;0,03;18,2;0,64;4,35;15,7;112,3;7.3;0,77;-;10.1%;20;NEUTRO;alta;False;2894100
SANB11;27,28;-0,33;4,88;0,7;54,2;0,138;80,8;0,9;2,28;13,3;36,3;13.3;0,81;-;10.5%;20;NEUTRO;alta;False;2738500
CEAB3;10,33;0,39;1,08;0,19;44,9;0,002;43,7;0,38;4,62;9,4;75,0;5.5;0,84;-;16.8%;20;NEUTRO;alta;False;2455600
SUZB3;41,41;-0,19;1,2;-3,54;49,2;0,143;51,6;0,25;2,21;5,7;44,0;4.5;1,07;-;26.3%;20;NEUTRO;alta;False;1441100
SAUD3;15,25;0,0;2,83;19,33;71,0;0,119;81,1;0,22;2,51;47,6;8,1;14.7;5,81;-;40.4%;20;NEUTRO;alta;False;1069700
GRND3;3,88;0,0;4,02;0,26;52,0;0,021;72,2;0,31;2,16;13,8;28,2;5.5;1,1;-;17.9%;20;NEUTRO;baixa;True;775400
KEPL3;6,47;-1,67;1,41;-0,77;44,0;0,022;35,4;1,09;2,63;4,4;62,3;7.6;1,42;-;19.6%;20;NEUTRO;baixa;True;768700
PLPL3;8,28;2,22;6,98;-4,83;46,4;0,062;54,3;0,32;4,99;10,1;109,9;5.0;1,58;-;38.0%;20;NEUTRO;baixa;True;705500
PSSA3;54,2;0,3;5,24;8,24;60,9;0,03;82,9;0,46;2,25;26,3;1,8;9.6;2,23;-;25.2%;20;NEUTRO;baixa;True;612300
ITUB3;45,72;0,0;2,17;9,99;67,7;0,105;84,2;0,27;2,1;69,7;3,5;11.3;2,4;-;21.8%;20;NEUTRO;baixa;True;488000
PINE4;12,3;1,07;-2,15;-8,35;44,6;0,054;40,6;0,4;4,85;132,6;31,5;5.7;1,82;-;36.5%;20;NEUTRO;baixa;True;385200
