ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
SANB11;25,6;-1,58;-3,98;-5,19;31,0;-0,033;-19,0;1,53;2,16;6,3;45,3;12.5;0,76;692.0%;10.5%;65;FORTE OPORTUNIDADE
COGN3;2,18;-1,36;-4,8;-7,23;31,1;0,003;-4,6;1,0;3,87;1,9;116,8;6.4;0,32;858.0%;4.7%;55;OBSERVAR
VALE3;72,7;-4,59;-6,76;-6,44;27,9;-0,382;-28,7;1,63;2,64;51,2;26,0;21.3;1,62;948.0%;6.8%;45;OBSERVAR
RECV3;10,18;6,04;3,35;-2,96;46,9;0,057;58,6;1,58;3,09;10,9;39,9;5.6;0,71;1341.0%;12.3%;40;OBSERVAR
ITUB4;41,89;-1,27;-1,3;7,43;56,5;0,11;63,5;0,72;2,08;37,9;16,3;10.2;2,2;213.0%;21.8%;35;NEUTRO
BBAS3;19,53;-1,01;-1,01;2,79;41,2;0,049;33,0;1,22;2,12;10,3;41,0;8.8;0,6;122.0%;9.2%;30;NEUTRO
SLCE3;13,21;0,38;4,43;-11,28;34,7;0,102;41,6;1,44;2,77;5,0;47,5;20.3;1,23;977.0%;5.3%;30;NEUTRO
LWSA3;3,84;-2,04;-6,8;3,23;47,3;-0,004;40,8;0,7;4,15;17,1;25,1;-;0,9;663.0%;-8.6%;30;NEUTRO
SMTO3;15,25;-0,46;-2,91;-8,49;44,8;0,101;54,4;0,67;3,48;19,8;40,3;6.0;0,67;141.0%;11.9%;20;NEUTRO
MGLU3;4,51;2,04;1,81;-11,91;37,3;0,086;39,8;0,74;5,98;11,9;153,8;25.1;0,31;59.0%;1.2%;20;NEUTRO
PETR3;44,16;2,79;6,23;-5,66;50,5;0,291;68,2;1,12;2,46;51,0;23,7;5.4;1,28;907.0%;25.6%;15;EVITAR
BBDC4;17,69;-0,73;-0,38;4,59;52,4;0,067;66,9;1,1;2,14;26,1;20,2;8.4;1,04;129.0%;13.4%;15;EVITAR
AGRO3;18,57;0,54;2,26;-1,75;52,6;0,072;68,8;0,69;1,64;4,0;22,5;-;0,91;405.0%;-0.7%;10;EVITAR
CSAN3;3,75;-2,34;1,35;11,28;47,6;0,062;68,7;0,33;4,51;17,2;114,1;-;4,2;-;-29.9%;10;EVITAR
PETR4;39,65;3,15;4,81;-4,8;50,3;0,262;70,7;1,13;2,16;45,0;24,0;4.9;1,15;1014.0%;25.6%;5;EVITAR
PRIO3;56,42;0,34;7,67;-10,27;47,3;0,461;57,7;1,28;2,88;65,1;29,4;17.1;1,71;-;9.7%;5;EVITAR
MELI34;77,18;-1,23;2,63;12,74;64,0;0,792;87,1;0,72;3,06;25,8;48,2;47.3;13,05;-;31.3%;5;EVITAR
