ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
EGIE3;29,86;-1,78;-11,08;-11,87;31,1;-0,327;-5,0;1,67;3,14;11,7;30,0;13.4;2,51;-;20.2%;65;FORTE OPORTUNIDADE;alta;False;4858800
BMGB4;5,17;-2,64;-2,82;0,39;44,6;-0,012;-7,7;0,7;2,86;69,8;12,6;5.2;0,67;-;13.5%;60;FORTE OPORTUNIDADE;baixa;True;803100
POMO4;5,22;-0,95;-10,15;-12,85;30,0;-0,054;-8,6;0,58;3,29;0,2;52,3;5.2;1,6;-;30.9%;55;OBSERVAR;alta;False;4623700
VVEO3;0,58;1,75;-1,69;-54,33;27,6;0,004;32,7;0,15;11,76;3,6;220,7;9.7;0,1;-;1.1%;55;OBSERVAR;baixa;True;631100
ITUB4;41,92;-1,48;-5,37;5,19;49,4;-0,076;36,5;0,7;2,14;38,0;16,2;10.2;2,2;-;21.8%;50;OBSERVAR;alta;False;14587000
GFSA3;0,44;0,0;-30,16;-63,64;19,8;-0,043;15,1;1,86;23,01;2,3;4284,1;-;0,01;-;-34.7%;50;OBSERVAR;alta;False;7170100
SBSP3;29,25;-0,17;-5,98;8,49;48,5;-0,034;39,7;0,55;2,53;46,2;20,7;11.5;2,35;-;21.2%;50;OBSERVAR;alta;False;6651200
CURY3;30,64;-2,08;-10,44;-7,91;39,3;-0,444;-7,6;1,0;4,12;23,8;34,0;8.6;6,11;-;73.7%;50;OBSERVAR;alta;False;3805300
PGMN3;3,46;-0,86;-7,73;-7,24;34,2;0,014;-1,3;0,47;4,22;8,2;120,2;7.0;0,74;-;10.1%;50;OBSERVAR;alta;False;2048800
TEND3;31,6;-2,74;-10,63;-7,0;37,3;-0,607;-4,9;0,64;4,72;64,3;20,1;6.4;2,85;-;47.1%;50;OBSERVAR;alta;False;1525600
CAML3;4,33;0,7;-20,11;-12,17;32,5;-0,055;-2,0;0,97;5,58;7,7;68,7;14.4;0,49;-;3.4%;50;OBSERVAR;alta;False;1268800
MTRE3;2,99;-0,33;-9,38;-8,83;30,6;-0,02;-0,6;0,72;3,11;3,1;38,7;5.2;0,31;-;8.3%;50;OBSERVAR;baixa;True;563600
BLAU3;9,16;-5,37;-13,18;-5,53;32,7;-0,073;-20,7;1,39;3,88;8,5;55,9;9.7;0,92;-;10.9%;50;OBSERVAR;baixa;True;231700
CEAB3;9,64;-3,41;-9,74;-2,72;36,8;-0,053;0,8;0,92;4,8;2,1;87,5;5.1;0,79;-;16.8%;45;OBSERVAR;alta;False;5660700
DIRR3;12,12;-2,1;-8,73;-10,82;35,7;-0,17;0,3;0,63;4,11;6,7;42,4;7.6;2,96;-;42.9%;45;OBSERVAR;alta;False;4818900
PLPL3;7,74;-2,4;-5,03;-6,75;38,3;0,031;5,2;1,63;5,6;2,9;124,6;4.6;1,48;-;38.0%;45;OBSERVAR;alta;False;3026000
ISAE4;27,85;-0,54;-7,17;0,72;46,2;-0,064;30,1;0,7;2,65;41,9;15,1;7.8;0,86;-;11.3%;45;OBSERVAR;alta;False;2050700
POMO3;4,8;-2,04;-11,28;-16,23;27,0;-0,049;-6,5;0,8;3,54;0,2;40,4;4.8;1,47;-;30.9%;45;OBSERVAR;baixa;True;860400
KEPL3;6,36;-1,09;-3,93;-2,15;39,4;0,009;12,4;0,62;2,64;2,6;65,1;7.5;1,39;-;19.6%;45;OBSERVAR;baixa;True;434900
ALLD3;4,52;1,35;-3,21;-6,42;29,5;0,018;14,4;0,68;2,97;2,0;82,2;1.3;0,28;-;21.8%;45;OBSERVAR;baixa;True;259500
RAIZ4;0,27;-6,9;-22,86;-35,71;23,1;-0,011;-3,9;0,98;10,55;0,0;481,5;-;-0,32;-;-548.1%;40;OBSERVAR;alta;False;13288100
LREN3;13,26;-2,86;-9,3;-5,72;36,8;-0,103;-5,4;0,6;3,85;9,9;32,9;8.9;1,25;-;14.5%;40;OBSERVAR;alta;False;8513600
MELK3;3,0;-1,32;-6,83;-7,41;36,5;-0,016;-2,7;0,63;2,65;2,9;33,6;5.1;0,56;-;13.4%;40;OBSERVAR;baixa;True;234800
CYRE3;21,54;-1,15;-6,59;-1,33;44,1;-0,091;12,0;0,98;3,81;9,0;67,2;4.8;0,88;-;21.1%;35;NEUTRO;alta;False;5889100
ECOR3;7,05;-2,35;-9,27;2,32;42,2;-0,003;18,7;0,7;4,07;17,4;69,3;6.6;1,2;-;17.3%;35;NEUTRO;alta;False;2795800
VIVA3;22,61;-3,17;-3,91;8,44;49,2;0,061;43,3;1,0;3,33;12,8;58,7;9.1;1,75;-;20.7%;35;NEUTRO;alta;False;2522100
TFCO4;14,38;-1,51;-4,83;-2,1;40,4;-0,055;-9,6;0,91;3,13;6,4;26,4;15.3;3,7;-;26.4%;35;NEUTRO;baixa;True;380800
FIQE3;5,6;-0,36;-5,08;-1,75;37,3;0,007;7,8;0,38;3,26;104,7;38,6;9.0;1,86;-;18.8%;35;NEUTRO;baixa;True;324600
PASS3;24,85;-0,24;-2,55;2,35;47,1;0,082;50,1;0,23;2,92;4,1;14,1;14.4;3,1;-;18.8%;35;NEUTRO;baixa;True;283000
ANIM3;2,26;7,11;-21,25;-17,22;37,8;-0,031;13,1;1,57;8,71;17,7;134,0;6.3;0,36;-;8.7%;30;NEUTRO;alta;False;18749700
AXIA3;50,07;0,68;-7,33;-3,36;37,2;-0,376;1,4;1,0;2,96;43,7;35,5;11.4;1,17;-;7.9%;30;NEUTRO;alta;False;10315600
MRVE3;4,7;-2,89;-6,19;-4,47;35,3;-0,001;8,2;0,91;5,09;1,5;124,0;-;0,51;-;-11.8%;30;NEUTRO;alta;False;7744700
VALE3;72,62;-0,49;-2,1;-10,07;34,5;-0,252;14,2;0,44;2,43;51,0;26,2;21.2;1,62;-;6.8%;30;NEUTRO;alta;False;7230400
ITSA4;13,61;-1,31;-3,95;6,41;54,3;0,013;57,9;0,37;2,03;52,5;10,6;9.0;1,69;-;18.4%;30;NEUTRO;alta;False;7042600
MOVI3;8,63;-1,03;-4,32;-4,0;38,8;-0,013;16,2;0,9;4,67;61,5;73,5;8.2;0,95;-;12.9%;30;NEUTRO;alta;False;3591700
SIMH3;7,58;0,26;-7,33;1,34;41,3;0,036;19,8;1,41;4,75;3,8;92,7;-;0,76;-;0.6%;30;NEUTRO;alta;False;2721000
SANB11;26,71;-0,45;-3,29;-0,63;47,5;0,077;50,3;0,72;2,28;10,9;39,2;13.1;0,79;-;10.5%;30;NEUTRO;alta;False;2303400
AUAU3;3,09;-1,9;-3,13;-2,22;40,2;-0,001;-5,9;1,07;3,48;10,6;30,5;-;0,86;-;6.5%;30;NEUTRO;alta;False;2124300
SAUD3;15,29;-1,35;-1,04;14,73;67,4;0,063;75,9;0,41;2,37;48,0;7,8;14.7;5,82;-;40.4%;30;NEUTRO;alta;False;1881700
ITUB3;44,8;-1,08;-3,57;6,89;57,2;-0,061;55,9;0,86;2,05;66,3;5,7;10.9;2,35;-;21.8%;30;NEUTRO;alta;False;1606600
